Species	CF1	CF10	CF11	CF12	CF13	CF14	CF15	CF16	CF17	CF18	CF19	CF2	CF20	CF21	CF22	CF23	CF24	CF25	CF26	CF27	CF28	CF29	CF3	CF30	CF31	CF32	CF33	CF34	CF35	CF36	CF37	CF38	CF39	CF4	CF40	CF41	CF42	CF43	CF44	CF45	CF46	CF47	CF48	CF5	CF6	CF7	CF8	CF9	CL1n	CL2n	CL3n
Bacteria;Actinobacteria;Actinobacteria;Streptosporangiales;Nocardiopsaceae;Nocardiopsis;?	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	170	0
Bacteria;Actinobacteria;Coriobacteriia;Coriobacteriales;Atopobiaceae;Olsenella;?	0	2	0	0	27	43	11	9	35	19	8	0	16	11	7	5	6	18	21	0	6	14	2	9	6	2	1	11	6	8	1	3	7	0	14	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	431
Bacteria;Actinobacteria;Coriobacteriia;Coriobacteriales;Coriobacteriaceae;Collinsella;?	4	1	9	6	9	7	9	9	3	1	2	2	2	8	1	2	1	2	5	6	6	7	8	2	0	1	1	3	3	5	2	1	2	2	5	4	4	4	4	8	6	3869	2	8	10	9	9	0	1692	3752	2558
Bacteria;Actinobacteria;Coriobacteriia;Coriobacteriales;Coriobacteriales Incertae Sedis;?;?	0	0	12	7	17	0	0	1	1	1	0	0	2	1	0	2	2	0	1	0	1	0	0	0	2	0	0	0	2	0	0	3	1	102	0	0	0	0	0	0	0	0	0	140	0	0	0	5	0	0	0
Bacteria;Actinobacteria;Coriobacteriia;Coriobacteriales;Eggerthellaceae;?;?	49	2119	206	387	12	5	8	17	5	10	15	38	7	19	7	5	8	4	32	4	5	16	48	2	7	2	2	2	4	5	4	5	4	58	10	99	58	53	17	44	6	4	0	89	43	1460	1358	247	357	4	3
Bacteria;Actinobacteria;Coriobacteriia;Coriobacteriales;Eggerthellaceae;DNF00809;?	3	0	1	2	15	33	35	14	86	119	43	0	81	90	29	29	79	85	87	2	48	144	1	35	43	34	12	11	68	19	11	53	94	4	42	0	1	1	0	0	1	0	0	3	4	0	0	0	0	4	0
Bacteria;Actinobacteria;Coriobacteriia;Coriobacteriales;Eggerthellaceae;Eggerthella;?	0	0	0	0	0	0	0	1	0	0	0	2	0	0	0	1	0	0	2	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	3	0	2	1	0	1	0	416	0	0	0	0	1	0	0	259
Bacteria;Actinobacteria;Coriobacteriia;Coriobacteriales;Eggerthellaceae;Enterorhabdus;?	234	793	144	133	128	104	143	127	132	87	102	138	119	112	93	134	144	134	295	6	71	127	179	113	56	25	7	60	107	62	7	66	57	448	91	565	288	198	280	361	276	0	160	627	149	266	566	134	3	4	2
Bacteria;Actinobacteria;Coriobacteriia;Coriobacteriales;Eggerthellaceae;Senegalimassilia;Senegalimassilia anaerobia JC110	0	0	0	0	2	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	161
Bacteria;Actinobacteria;Thermoleophilia;Solirubrobacterales;Solirubrobacteraceae;?;?	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	49	0	0	0	0	0	0	0	0
Bacteria;Bacteroidetes;Bacteroidia;Bacteroidales;?;?;?	1664	1928	302	384	176	68	68	86	64	39	59	990	84	46	84	39	66	80	82	10	45	72	1660	36	34	17	16	88	97	54	252	88	75	601	101	3296	2361	1793	3320	3368	1511	6	142	733	30	94	1913	537	16	25	10
Bacteria;Bacteroidetes;Bacteroidia;Bacteroidales;Bacteroidaceae;Bacteroides;?	426	560	4802	4478	262	80	200	219	102	38	55	1123	164	70	30	82	46	96	200	25	52	192	318	65	73	86	2030	43	727	72	513	113	62	1637	685	481	265	157	1627	1820	281	3	1	1474	1368	728	330	4093	358	16	14
Bacteria;Bacteroidetes;Bacteroidia;Bacteroidales;Bacteroidaceae;Bacteroides;Bacteroides faecichinchillae	0	4	4	7	1	1	8	1	4	1	0	0	0	2	1	0	1	2	2	0	0	7	2	1	3	1	11	0	5	0	4	4	5	1	4	0	0	0	0	1	0	0	0	0	6	0	0	1	0	0	0
Bacteria;Bacteroidetes;Bacteroidia;Bacteroidales;Bacteroidaceae;Bacteroides;uncultured organism	136	98	588	1032	9	7	8	31	22	3	8	54	2	1	5	0	12	7	2	4	4	13	64	3	3	55	111	5	13	3	107	29	4	11	3	5	2	2	0	1	5	2	0	15	3051	62	126	534	5	8	1083
Bacteria;Bacteroidetes;Bacteroidia;Bacteroidales;Marinifilaceae;?;?	341	150	1429	540	39	1	3	1	1	0	3	175	2	1	0	1	1	0	0	1	1	3	195	1	0	3	0	1	2	2	1	3	0	218	1	1	0	4	3	1	0	0	3	219	19	217	132	1186	2	5	2
Bacteria;Bacteroidetes;Bacteroidia;Bacteroidales;Marinifilaceae;Odoribacter;?	3	1	3	0	58	8	28	48	47	101	78	0	28	190	60	82	31	127	52	0	20	110	3	117	29	4	2	97	270	66	1	60	60	0	87	158	51	88	72	11	262	0	0	1	4	0	1	4	0	0	0
Bacteria;Bacteroidetes;Bacteroidia;Bacteroidales;Marinifilaceae;Odoribacter;uncultured organism	85	152	510	50	71	87	74	105	206	126	25	136	40	634	111	251	273	196	90	14	35	820	47	102	45	22	4	98	208	105	6	141	314	65	101	2	2	1	2	2	0	2	0	68	27	22	154	385	0	0	3
Bacteria;Bacteroidetes;Bacteroidia;Bacteroidales;Muribaculaceae;?;?	3555	4396	6777	6249	5453	5336	9924	9856	8755	4476	6843	4469	5476	5444	11319	5924	6279	6272	10104	190	4404	8346	4066	3463	5699	5624	4520	4416	7295	6261	6035	6324	7093	4167	7249	10534	7630	5316	6637	12922	9094	34	17	4480	4169	2094	3284	6087	114	980	71
Bacteria;Bacteroidetes;Bacteroidia;Bacteroidales;Muribaculaceae;Muribaculum;?	8116	9496	1028	870	382	243	92	176	53	17	34	4700	64	19	311	22	53	51	159	15	28	55	8035	31	30	29	11	11	83	17	173	38	106	2492	170	9380	6041	5018	5139	5436	4071	12	1	2910	33	347	9709	1899	11	15	13
Bacteria;Bacteroidetes;Bacteroidia;Bacteroidales;Muribaculaceae;Muribaculum;Parabacteroides sp. YL27	441	1224	379	150	84	36	36	35	64	60	75	606	97	60	82	42	84	60	176	5	33	120	812	22	60	24	53	54	129	30	52	21	36	265	152	1034	358	469	560	896	998	0	0	289	27	659	995	273	1	5	4
Bacteria;Bacteroidetes;Bacteroidia;Bacteroidales;Muribaculaceae;mouse gut metagenome;?	0	0	0	0	39	41	47	56	36	31	23	0	37	35	176	33	18	29	63	2	13	28	0	11	30	14	0	10	37	16	7	28	40	14	37	2	0	0	0	0	1	0	0	4	0	0	1	0	0	0	0
Bacteria;Bacteroidetes;Bacteroidia;Bacteroidales;Muribaculaceae;uncultured Bacteroidales bacterium;?	688	953	1378	1929	507	738	1317	648	735	594	924	991	571	694	1210	696	1116	892	1234	29	357	980	644	514	736	373	581	626	774	582	568	583	739	388	804	4677	3913	2530	4412	7645	6344	9	6	426	144	1812	732	1361	34	24	11
Bacteria;Bacteroidetes;Bacteroidia;Bacteroidales;Muribaculaceae;uncultured organism;?	712	2490	8	8	448	361	559	1253	307	189	148	1002	922	541	1959	253	251	331	1976	25	78	401	645	107	363	289	11	106	260	22	634	182	564	33	302	8	1	11	1	6	5	2	0	32	81	2314	2179	4	9	8	4
Bacteria;Bacteroidetes;Bacteroidia;Bacteroidales;Prevotellaceae;?;?	2860	2799	4	8	81	2	3	11	9	3	5	330	6	2	3	2	6	4	3	6	5	7	1260	1	9	1	4	0	2	3	2	2	6	784	2	2	7	7	6	1	1	4	2	689	336	3452	3488	1	3	9	8
Bacteria;Bacteroidetes;Bacteroidia;Bacteroidales;Prevotellaceae;Prevotellaceae UCG-001;?	3	0	2	1	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	7	0	0	0	0	0	0	0	0	0	5	0	18	1	7	0	0	0
Bacteria;Bacteroidetes;Bacteroidia;Bacteroidales;Prevotellaceae;Prevotellaceae UCG-001;uncultured Bacteroidales bacterium	1	1	1	2	139	143	22	475	122	47	76	1	154	69	98	424	220	150	255	5	80	340	3	103	255	209	87	82	321	116	105	183	200	2	85	1	3	0	0	0	0	0	0	3	4	1	2	0	0	3	3
Bacteria;Bacteroidetes;Bacteroidia;Bacteroidales;Rikenellaceae;Alistipes;?	12	7	306	25	219	245	157	198	215	272	183	10	132	367	292	181	305	306	186	1523	89	135	13	191	72	119	155	322	720	148	115	151	478	57	301	1002	1448	1398	2761	2379	1357	6	1	65	63	29	5	129	6	8	8
Bacteria;Bacteroidetes;Bacteroidia;Bacteroidales;Rikenellaceae;Alistipes;Alistipes timonensis JC136	3	7	23	23	10	7	9	5	10	1	2	4	3	1	5	2	1	5	6	0	3	2	2	1	3	4	3	9	6	9	5	5	12	0	26	0	3	0	0	1	1	0	0	0	94	55	12	24	0	0	0
Bacteria;Bacteroidetes;Bacteroidia;Bacteroidales;Rikenellaceae;Alistipes;uncultured Bacteroidales bacterium	235	33	1640	535	540	450	814	592	339	336	566	324	157	278	593	482	529	352	510	3	146	180	155	223	228	205	25	792	1139	261	102	206	349	78	760	3	3	2	40	127	26	2	0	62	926	848	44	1194	6	8	5
Bacteria;Bacteroidetes;Bacteroidia;Bacteroidales;Rikenellaceae;Rikenella;?	2	1	111	20	13	9	26	17	19	11	5	0	18	56	25	18	35	36	4	0	7	39	0	13	27	10	0	16	9	15	1	21	8	20	15	1	0	1	0	0	0	0	0	32	0	0	0	70	0	0	0
Bacteria;Bacteroidetes;Bacteroidia;Bacteroidales;Rikenellaceae;Rikenellaceae RC9 gut group;?	176	1	3	6	317	404	481	846	448	19	36	42	45	16	3	132	190	326	18	3	132	528	108	202	337	750	35	405	762	333	61	277	211	57	67	4	3	4	6	4	9	2	1	72	52	5	1	1	2	3	2
Bacteria;Bacteroidetes;Bacteroidia;Bacteroidales;Tannerellaceae;Parabacteroides;?	75	35	275	535	43	22	25	62	24	9	17	99	41	13	3	14	24	32	40	3	11	50	46	22	32	89	112	18	50	23	144	54	35	52	65	16	6	11	11	12	14	0	0	31	981	1121	60	266	2	126	0
Bacteria;Bacteroidetes;Bacteroidia;Bacteroidales;Tannerellaceae;Parabacteroides;uncultured organism	436	338	419	443	36	0	1	4	0	2	0	356	2	0	0	3	1	1	2	2	0	0	291	2	1	3	9	4	1	0	7	2	1	234	16	3	0	0	1	2	0	5	0	222	109	239	348	536	1	3	3
Bacteria;Bacteroidetes;Bacteroidia;Cytophagales;Hymenobacteraceae;Hymenobacter;?	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	349	0
Bacteria;Bacteroidetes;Bacteroidia;Flavobacteriales;Weeksellaceae;Chryseobacterium;?	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	396	0	0	0	2	1	0	0	0	0
Bacteria;Bacteroidetes;Bacteroidia;Flavobacteriales;Weeksellaceae;Cloacibacterium;?	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	512	0
Bacteria;Bacteroidetes;Bacteroidia;Flavobacteriales;Weeksellaceae;Weeksella;Weeksella virosa DSM 16922	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	163	0	0
Bacteria;Chlamydiae;Chlamydiae;Chlamydiales;Chlamydiaceae;Chlamydia;?	0	29	12	0	2	0	0	0	0	0	0	65	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	6	3	59	43	13	0	0	0
Bacteria;Cyanobacteria;Melainabacteria;Gastranaerophilales;?;?;?	55	0	277	728	41	2	25	26	3	7	5	171	1	11	8	28	10	11	12	0	2	83	55	7	0	9	0	3	28	3	64	31	57	37	32	1	2	3	0	0	53	0	0	61	3	934	6	741	4	1	0
Bacteria;Cyanobacteria;Oxyphotobacteria;Chloroplast;?;?;?	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	222	0	0	0	1	0	0	0	0
Bacteria;Deferribacteres;Deferribacteres;Deferribacterales;Deferribacteraceae;Mucispirillum;?	7	15	9	0	9	5	10	6	3	13	6	48	5	2	10	2	2	6	0	25	3	6	3	9	3	1	17	10	24	2	7	14	4	27	14	20	46	680	110	235	471	0	0	41	2	4	11	0	2	2	2
Bacteria;Deinococcus-Thermus;Deinococci;Deinococcales;Deinococcaceae;Deinococcus;?	0	0	1	2	0	0	0	0	0	1	1	2	1	0	0	0	0	0	1	2	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	712	0	0	0	1	0	1	0	0	0
Bacteria;Epsilonbacteraeota;Campylobacteria;Campylobacterales;Helicobacteraceae;Helicobacter;?	596	16	141	54	28	2	1	0	0	0	0	1432	2	4	0	0	0	0	0	3	1	3	205	0	1	0	0	3	0	0	0	0	3	214	0	0	3	0	0	1	2	1	2	252	449	185	105	84	3	0	4
Bacteria;Epsilonbacteraeota;Campylobacteria;Campylobacterales;Helicobacteraceae;Helicobacter;Syphacia muris	4	0	429	350	9	0	1	4	0	1	0	2	2	0	0	0	2	0	2	0	2	0	1	0	1	1	1	0	0	0	1	1	1	77	0	1	0	1	0	1	3	1	0	142	0	1	0	474	4	0	1
Bacteria;Firmicutes;Bacilli;Bacillales;Bacillaceae;Bacillus;?	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	11	7	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	2	0	0
Bacteria;Firmicutes;Bacilli;Bacillales;Bacillaceae;Salsuginibacillus;Salsuginibacillus kocurii	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	212	0	0	0	0	0	0	0	0
Bacteria;Firmicutes;Bacilli;Bacillales;Listeriaceae;Brochothrix;?	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	292	0	0	4	0	0	0	0	0
Bacteria;Firmicutes;Bacilli;Bacillales;Paenibacillaceae;Brevibacillus;?	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	76	0	0	0	0	0	0	0	0
Bacteria;Firmicutes;Bacilli;Bacillales;Staphylococcaceae;Macrococcus;?	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	2	0	0	0	0	286
Bacteria;Firmicutes;Bacilli;Bacillales;Staphylococcaceae;Staphylococcus;?	3	7	1	5	2	4	7	6	16	3	4	4	5	3	6	4	5	3	4	6	5	12	5	8	51	4	0	2	0	3	1	6	3	5	15	2	4	6	4	5	3	5445	500	5	9	13	8	5	423	1563	600
Bacteria;Firmicutes;Bacilli;Lactobacillales;Carnobacteriaceae;Alloiococcus;?	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	223	0	0	0	0	0	0	0	0
Bacteria;Firmicutes;Bacilli;Lactobacillales;Carnobacteriaceae;Dolosigranulum;?	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	18	0	1	0	2	0	0	451	0
Bacteria;Firmicutes;Bacilli;Lactobacillales;Enterococcaceae;Enterococcus;?	72	85	34	58	12	78	89	131	197	81	89	54	58	35	9	76	636	208	750	64	79	90	17	21	232	779	686	105	505	87	120	47	190	17	437	10	9	5	11	20	14	5201	5324	8	147	40	81	106	4589	3624	10662
Bacteria;Firmicutes;Bacilli;Lactobacillales;Lactobacillaceae;Lactobacillus;?	10	16	64	217	827	1211	279	113	233	53	109	1041	166	126	58	2316	312	48	1387	32	282	991	7	94	705	7	53	1616	13	965	93	417	540	18	1648	3909	1995	894	487	1602	589	3	5	12	64	44	26	176	8	1291	5
Bacteria;Firmicutes;Bacilli;Lactobacillales;Leuconostocaceae;Leuconostoc;?	2	0	0	0	0	0	0	0	0	0	0	2	0	0	0	8	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0
Bacteria;Firmicutes;Bacilli;Lactobacillales;Leuconostocaceae;Weissella;?	1	0	4	2	67	1133	4	631	190	1	1	1	1	1	27	30	70	7	84	1165	13	7	1	2	8	0	0	12	1	7	6	0	0	0	3	0	2	0	0	0	2	0	0	1	4	5	0	0	2	2	2
Bacteria;Firmicutes;Bacilli;Lactobacillales;Streptococcaceae;Streptococcus;?	13	31	23	4	21	13	12	8	7	5	6	24	1	1	0	8	4	10	5	3	9	11	7	7	8	0	2	3	10	6	4	2	7	25	6	21	13	1	10	20	8	807	2	25	6	18	157	13	2388	1555	1603
Bacteria;Firmicutes;Clostridia;Clostridiales;?;?;?	5	6	2	1	5	5	57	13	90	5	3	56	1	0	4	4	2	71	3	2	3	3	7	3	4	1	1	2	4	15	0	21	7	10	3	0	10	6	8	1	10	0	0	14	1	4	9	5	18	53	0
Bacteria;Firmicutes;Clostridia;Clostridiales;Christensenellaceae;?;?	0	0	0	0	1	0	2	0	1	5	4	0	0	1	0	0	1	4	0	0	2	1	0	2	0	0	1	1	3	0	0	1	1	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Bacteria;Firmicutes;Clostridia;Clostridiales;Christensenellaceae;Christensenellaceae R-7 group;?	0	1	0	0	37	48	72	18	16	27	31	0	18	18	10	18	25	21	28	0	16	54	2	17	18	20	2	22	16	23	11	19	9	0	22	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0
Bacteria;Firmicutes;Clostridia;Clostridiales;Christensenellaceae;Christensenellaceae R-7 group;metagenome	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	43	0
Bacteria;Firmicutes;Clostridia;Clostridiales;Christensenellaceae;Christensenellaceae R-7 group;uncultured rumen bacterium	0	0	0	0	8	0	25	1	6	0	0	0	0	8	0	0	5	7	0	0	4	2	0	15	3	0	0	5	0	0	0	7	0	0	3	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0
Bacteria;Firmicutes;Clostridia;Clostridiales;Clostridiaceae 1;Candidatus Arthromitus;?	9	0	0	0	1	10	0	0	0	26	0	39	1	13	16	82	13	0	0	0	0	0	13	1	10	0	0	3	50	0	0	0	0	5	0	3	0	0	54	102	11	0	1	1	1	0	0	2	1	2	0
Bacteria;Firmicutes;Clostridia;Clostridiales;Clostridiaceae 1;Clostridium sensu stricto 13;?	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	21	0	0	0	0	0	0	0	17	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Bacteria;Firmicutes;Clostridia;Clostridiales;Clostridiaceae 1;Clostridium sensu stricto 1;?	4	2	7	17	46	14	10	11	9	7	4	6	44	6	0	3	8	6	2	0	21	7	6	2	2	3	2	2	5	10	1	1	3	3	8	1161	1125	252	3	13	1648	2777	5468	4	8	14	5	4	2348	1038	1200
Bacteria;Firmicutes;Clostridia;Clostridiales;Clostridiaceae 1;Clostridium sensu stricto 1;Clostridium sp. Marseille-P2434	0	1	0	0	0	0	0	0	0	1	0	1	0	0	2	0	0	0	0	0	0	0	0	0	0	80	6	12	17	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Bacteria;Firmicutes;Clostridia;Clostridiales;Clostridiales vadinBB60 group;?;?	1	0	0	0	21	49	35	23	40	46	28	9	54	145	24	20	43	119	23	1	15	189	2	71	14	6	126	27	116	59	15	44	79	14	20	73	35	37	62	66	78	0	0	17	1	1	0	9	0	2	0
Bacteria;Firmicutes;Clostridia;Clostridiales;Clostridiales vadinBB60 group;uncultured prokaryote;?	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	10	0	2	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Bacteria;Firmicutes;Clostridia;Clostridiales;Defluviitaleaceae;Defluviitaleaceae UCG-011;uncultured organism	0	0	0	0	1	0	15	3	0	0	9	0	11	0	6	0	4	0	10	0	2	2	0	0	3	4	4	3	2	3	0	0	6	0	11	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Bacteria;Firmicutes;Clostridia;Clostridiales;Eubacteriaceae;Anaerofustis;?	0	0	0	0	0	2	1	1	0	4	0	0	1	4	0	0	0	3	0	0	0	7	0	0	0	1	0	0	0	0	0	0	0	0	1	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
Bacteria;Firmicutes;Clostridia;Clostridiales;Family XI;Anaerococcus;?	3	0	0	0	0	0	0	1	1	1	3	6	0	0	1	2	0	0	3	0	2	1	1	0	0	2	0	1	0	0	0	0	0	0	0	1	0	0	1	1	1	0	714	0	3	0	1	0	1364	430	410
Bacteria;Firmicutes;Clostridia;Clostridiales;Family XI;Peptoniphilus;?	0	1	0	0	0	0	1	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	1	0	0	0	3	0	0	0	0	0	0	0	0	0	1	0	0	707	224	0	0	0	0	0	0	0	0
Bacteria;Firmicutes;Clostridia;Clostridiales;Family XIII;Anaerovorax;?	0	0	0	0	3	3	2	0	4	7	1	0	3	2	0	0	1	11	1	0	1	3	0	1	2	1	0	1	2	0	0	3	1	0	2	11	7	7	10	0	9	0	0	0	0	0	0	0	0	0	0
Bacteria;Firmicutes;Clostridia;Clostridiales;Family XIII;Family XIII AD3011 group;?	0	0	7	3	7	9	9	11	2	8	3	0	8	8	0	1	4	8	5	0	5	19	0	4	4	5	0	3	1	5	0	2	7	7	4	1	4	0	3	9	4	0	0	14	0	0	0	1	0	0	0
Bacteria;Firmicutes;Clostridia;Clostridiales;Family XIII;Family XIII UCG-001;?	0	1	26	52	23	18	23	2	42	20	9	0	11	2	7	2	3	40	7	0	8	8	0	10	2	6	2	7	4	2	1	5	8	28	6	8	20	24	6	4	10	0	0	88	0	0	0	2	0	0	0
